mainRibbonTabWorkbenchCapture;Werkbank
ToolBarButtonImageRemoveLabel;Afbeelding verwijderen
ToolBarButtonImageRotateLabel;Afbeelding 45° draaien
SfDataGridGroupBoxTooltip;Sleep de kolomkop hier naartoe om op te groeperen, meerdere kolommen zijn mogelijk
SfDataGridGroupBoxText;Sleep kolomkoppen hier naartoe om op te groeperen
ExportBrandTitle;Merken Exporteren
ExportBrandSubtitle;Exporteer merken naar een CSV bestand
ExportBrandFilename;Merken
ExportBrandButtonLabel;Merk
ExportBrandButtonTooltip;Selecteer het te importeren CSV bestand met merken
ExportBrandEmpty;Er zijn geen merken beschikbaar om te exporteren
ExportBrandButtonText;Merken
ImportBrandTitle;Merken Importeren
ImportBrandSubtitle;Importeer merken uit een CSV bestand, hierin staan uitsluitend merknamen
ImportBrandFilename;Merken
ImportBrandMessageboxErrorExistingLong;Merk bestaat al in de tabel
ImportBrandMessageboxErrorExistingShort;Merk Bestaat al
ImportBrandButtonLabel;Merk
ImportBrandButtonTooltip;Selecteer het te importeren CSV bestand met merken (bestand moet een geldige header bevatten, gebruik de kop CSV voorbereiden voor een bestand met de header)
ImportBrandFileDialogDescription;Selecteer het te importeren CSV bestand met merken
ImportBrandFileDialogFilterText;CSV Bestanden
EditBrandTitle;Merken beheren
EditBrandSubtitle;Wijzig een merk, voeg toe of verwijder
EditBrandNameLabel;Merknaam:
EditBrandNameTag;Merknaam
EditBrandActionTooltipAdd;Merk toevoegen aan de tabel
EditBrandActionTooltipDelete;Geselecteerde merk verwijderen uit de tabel
EditBrandActionTooltipSave;Gewijzigde merk opslaan
EditBrandDataGridHeaderId;Id
EditBrandDataGridHeaderName;Merknaam
ExportCategoryTitle;Categoriën Exporteren
ExportCategorySubtitle;Exporteer categoriën naar een CSV bestand
ExportCategoryFilename;Categoriën
ExportCategoryButtonLabel;Categorie
ExportCategoryButtonTooltip;Selecteer het te importeren CSV bestand met categoriën
ExportCategoryEmpty;Er zijn geen categoriën beschikbaar om te exporteren
ExportCategoryButtonText;Categoriën
ImportCategoryTitle;Categoriën Importeren
ImportCategorySubtitle;Importeer categoriën uit een CSV bestand
ImportCategoryFilename;Categorie
ImportCategoryMessageboxErrorExistingLong;Ingelezen categorie bestaat al in de tabel
ImportCategoryMessageboxErrorExistingShort;Categorie Bestaat al
ImportCategoryButtonLabel;Categorie
ImportCategoryButtonTooltip;Selecteer het te importeren CSV bestand met categoriën
ImportCategoryFileDialogDescription;Selecteer het te importeren CSV bestand met categorieën
ImportCategoryFileDialogFilterText;CSV Bestanden

ImportCategoryButtonText;Categoriën

EditCategoryTitle;Categorieen beheren
EditCategorySubtitle;Wijzig een categorie, voeg toe of verwijder
EditCategoryNameLabel;Categorienaam:
EditCategoryNameTag;Categorienaam
EditCategoryActionTooltipAddTask;Categorie toevoegen aan de tabe, op niveau van geselecteerde categoriel
EditCategoryActionTooltipAddSubTask;Categorie toevoegen aan de tabel, met geselecteerde categorie als hoofdcategorie
EditCategoryActionTooltipDelete;Geselecteerde categorie, en onderliggende subcategoriën, verwijderen uit de tabel
EditCategoryActionTooltipSave;Gewijzigde categorie opslaan
EditCategoryActionContextMenuLabelExpand;Categoriën openklappen
EditCategoryActionContextMenuLabelCollapse;Categoriën dichtklappen
EditCategoryActionContextMenuLabelSave;Wijzigingen opslaan
EditCategoryActionContextMenuLabelAddTask;Categorie toevoegen
EditCategoryActionContextMenuLabelAddSubTask;Subcategorie toevoegen
EditCategoryActionContextMenuLabelDeleteTask;Verwijder categorie
EditCategoryActionTooltipExpand;Alle (sub)categoriën openklappen
EditCategoryActionTooltipCollapse;Alle (sub)categoriën dicktklappen
EditCategoryDataGridHeaderId;Id
EditCategoryDataGridHeaderParentId;Ouder Id
EditCategoryDataGridHeaderFullpath;Volledig pad
EditCategoryDataGridHeaderName;Categorienaam
ExportCountryTitle;Landen Exporteren
ExportCountrySubtitle;Exporteer landen naar een CSV bestand
ExportCountryFilename;Landen
ExportCountryButtonLabel;Land
ExportCountryButtonTooltip;Selecteer het te importeren CSV bestand met landen
ExportCountryEmpty;Er zijn geen landen beschikbaar om te exporteren
ExportCountryButtonText;Landen
ImportCountryTitle;Landen Importeren
ImportCountrySubtitle;Importeer landen uit een CSV bestand, hierin staan uitsluitend landnamen
ImportCountryFilename;Importeer landen
ImportCountryMessageboxErrorExistingLong;Ingelezen land bestaat al in de tabel
ImportCountryMessageboxErrorExistingShort;Land Bestaat al
ImportCountryButtonLabel;Land
ImportCountryButtonTooltip;Selecteer het te importeren CSV bestand met landen
ImportCountryFileDialogDescription;Selecteer het te importeren CSV bestand met landen
ImportCountryFileDialogFilterText;CSV Bestanden
ImportCountryButtonText;Landen
EditCountryTitle;Landen beheren
EditCountrySubtitle;Wijzig een land, voeg toe of verwijder
EditCountryCodeLabel;Zoekcode:
EditCountryCodeTag;Zoekcode
EditCountryNameLabel;Landnaam:
EditCountryNameTag;Landnaam
EditCountryCurrencyLabel;Standaard valuta:
EditCountryCurrencyTag;Selecteer valuta
EditCountryActionTooltipAdd;Land toevoegen aan de tabel
EditCountryActionTooltipDelete;Geselecteerde land verwijderen uit de tabel
EditCountryActionTooltipSave;Gewijzigde land opslaan
EditCountryDataGridHeaderId;Id
EditCountryDataGridHeaderName;Landnaam
EditCountryDataGridHeaderCode;Zoeknaam
EditCountryDataGridHeaderCurrencyId;ValutaId
EditCountryDataGridHeaderCurrencySymbol;Valuta
ExportCurrencyTitle;Valuta Exporteren
ExportCurrencySubtitle;Exporteer valuta naar een CSV bestand
ExportCurrencyFilename;Valuta
ExportCurrencyButtonLabel;Valuta
ExportCurrencyButtonTooltip;Selecteer het te importeren CSV bestand met valuta
ExportCurrencyEmpty;Er zijn geen valuta beschikbaar om te exporteren
ExportCurrencyButtonText;Valuta
ImportCurrencyTitle;Valuta Importeren
ImportCurrencySubtitle;Importeer valuta uit een CSV bestand, hierin staan uitsluitend valutanamen
ImportCurrencyFilename;Importeer valuta
ImportCurrencyMessageboxErrorExistingLong;Ingelezen valuta bestaat al in de tabel
ImportCurrencyMessageboxErrorExistingShort;Valuta Bestaat al
ImportCurrencyButtonLabel;Valuta
ImportCurrencyButtonTooltip;Selecteer het te importeren CSV bestand met valuta
ImportCurrencyFileDialogDescription;Selecteer het te importeren CSV bestand met valuta
ImportCurrencyFileDialogFilterText;CSV Bestanden
ImportCurrencyButtonText;Valuta
EditCurrencyTitle;Valuta beheren
EditCurrencySubtitle;Wijzig een valuta, voeg toe of verwijder
EditCurrencyCodeLabel;Zoeknaam:
EditCurrencyCodeTag;ZOEK
EditCurrencyCodeTooltip;Verkorte naam om deze valuta te kunnen vinden
EditCurrencyNameLabel;Valutanaam:
EditCurrencyNameTag;Valuta
EditCurrencyNameTooltip;Naam voor deze valuta
EditCurrencySymbolLabel;Symbool:
EditCurrencySymbolTag;Symbool
EditCurrencySymbolTooltip;Valuta symbool
EditCurrencyRateLabel;Wisselkoers:
EditCurrencyRateTag;Koers
EditCurrencyRateTooltip;Gemiddelde wisselkoers naar euro
EditCurrencyActionTooltipAdd;Valuta toevoegen aan de tabel
EditCurrencyActionTooltipDelete;Geselecteerde valuta verwijderen uit de tabel
EditCurrencyActionTooltipSave;Gewijzigde valuta opslaan
EditCurrencyDataGridHeaderId;Id
EditCurrencyDataGridHeaderCode;Zoeknaam
EditCurrencyDataGridHeaderName;Naam
EditCurrencyDataGridHeaderConversionRate;Koers
EditCurrencyDataGridHeaderCurrencySymbol;Valuta
ExportStorageLocationTitle;Voorraadlocaties Exporteren
ExportStorageLocationSubtitle;Exporteer voorraadlocaties naar een CSV bestand
ExportStorageLocationFilename;Voorraadlocaties
ExportStorageLocationButtonLabel;Voorraadlocatie
ExportStorageLocationButtonTooltip;Selecteer het te importeren CSV bestand met voorraadlocaties
ExportStorageLocationEmpty;Er zijn geen voorraadlocaties beschikbaar om te exporteren
ExportStorageLocationButtonText;Voorraadlocaties
ImportStorageLocationTitle;Voorraadlocaties Importeren
ImportStorageLocationSubtitle;Importeer voorraadlocaties uit een CSV bestand, hierin staan uitsluitend voorraadlocatienamen
ImportStorageLocationFilename;Importeer voorraadlocaties
ImportStorageLocationMessageboxErrorExistingLong;Ingelezen voorraadlocatie bestaat al in de tabel
ImportStorageLocationMessageboxErrorExistingShort;Voorraadlocatie Bestaat al
ImportStorageLocationButtonLabel;Voorraadlocatie
ImportStorageLocationButtonTooltip;Selecteer het te importeren CSV bestand met voorraadlocaties
ImportStorageLocationFileDialogDescription;Selecteer het te importeren CSV bestand met voorraadlocaties
ImportStorageLocationFileDialogFilterText;CSV Bestanden
ImportStorageLocationButtonText;Voorraadlocaties
EditStorageTitle;Voorraad locaties beheren
EditStorageSubtitle;Wijzig een locatie, voeg toe of verwijder
EditStorageNameLabel;Locatienaam:
EditStorageNameTag;Locatienaam
EditStorageNameTooltip;Omschrijving van de opslaglocaties
EditStorageActionTooltipAddTask;Locatie toevoegen aan de tabel, op niveau van geselecteerde locatie
EditStorageIdLabel;Id:
EditStorageIdTag;Id
EditStorageIdTooltip;Id
EditStorageParentIdLabel;ParentId:
EditStorageParentIdTag;ParentId
EditStorageParentIdTooltip;ParentId
EditStorageActionTooltipAddSubTask;Locatie toevoegen aan de tabel, met geselecteerde locatie als hoofdlocatie
EditStorageActionTooltipDelete;Geselecteerde locatie, en onderliggende locaties, verwijderen uit de tabel
EditStorageActionTooltipSave;Gewijzigde locatie opslaan
EditStorageActionContextMenuLabelExpand;Locaties openklappen
EditStorageActionContextMenuLabelCollapse;Locaties dichtklappen
EditStorageActionContextMenuLabelSave;Wijzigingen opslaan
EditStorageActionContextMenuLabelAddTask;Locatie toevoegen
EditStorageActionContextMenuLabelAddSubTask;Sublocatie toevoegen
EditStorageActionContextMenuLabelDeleteTask;Verwijder locatie
EditStorageActionTooltipExpand;Alle (sub)locaties openklappen
EditStorageActionTooltipCollapse;Alle (sub)locaties dicktklappen
EditStorageDataGridHeaderId;Id
EditStorageDataGridHeaderName;Locatienaam
ExportProductTitle;Artikelen Exporteren
ExportProductSubtitle;Exporteer artikelen naar een CSV bestand
ExportProductFilename;Artikelen
ExportProductButtonLabel;Artikel
ExportProductButtonTooltip;Selecteer het te importeren CSV bestand met artikelen
ExportProductEmpty;Er zijn geen artikelen beschikbaar om te exporteren
ExportProductButtonText;Artikelen
ImportProductTitle;Artikelen Importeren
ImportProductSubtitle;Importeer artikelen uit een CSV bestand, hierin staan uitsluitend Artikelnamen
ImportProductFilename;Importeer artikelen
ImportProductMessageboxErrorExistingLong;Ingelezen artikel bestaat al in de tabel
ImportProductMessageboxErrorExistingShort;Artikel Bestaat al
ImportProductButtonLabel;Artikel
ImportProductButtonTooltip;Selecteer het te importeren CSV bestand met artikelen
ImportProductFileDialogDescription;Selecteer het te importeren CSV bestand met artikelen
ImportProductFileDialogFilterText;CSV Bestanden
ImportProductButtonText;Artikelen
EditProductTitle;Produkten beheren
EditProductSubtitle;Wijzig een produkt, voeg toe of verwijder
EditProductNameLabel;Produktnaam:
EditProductNameTag;Produktnaam
EditProductActionTooltipAdd;Produkt toevoegen aan de tabel
EditProductActionTooltipDelete;Geselecteerde produkt verwijderen uit de tabel
EditProductActionTooltipSave;Gewijzigde produkt opslaan
EditProductDataGridHeaderId;Id
EditProductDataGridHeaderName;Produktnaam
EditProductDataGridHeaderCategory;Categorie
EditProductDataGridHeaderCode;Zoeknaam
EditProductTabGeneralLabel;Produkt gegevens
EditProductTabGeneralGroupGeneralText;Produkt gegevens
EditProductTabGeneralGroupGeneralCodeLabel;Zoeknaam
EditProductTabGeneralGroupGeneralCodeTag;Zoeknaam
EditProductTabGeneralGroupGeneralCodeTooltip;Geef de zoeknaam voor dit produkt
EditProductTabGeneralGroupGeneralBrandLabel;Merk
EditProductTabGeneralGroupGeneralBrandTag;Selecteer merk
